year,description,amount
2012,Total Revenue,40803723
2013,Total Revenue,48998678
2014,Total Revenue,55042312
2015,Total Revenue,50008690
2016,Total Revenue,51173804
2017,Total Revenue,65733100
2018,Total Revenue,70873183
2019,Total Revenue,68488756
2012,Total Expenditure,45690215
2013,Total Expenditure,45003333
2014,Total Expenditure,48117245
2015,Total Expenditure,50812399
2016,Total Expenditure,52736997
2017,Total Expenditure,56191751
2018,Total Expenditure,58298035
2019,Total Expenditure,61042252