Table 1.  State Tax Collections by State: 2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in thousands.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2015 Annual Survey of State Tax Collections. Data users who create their own estimates using data from this report should cite the ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Census Bureau as the source of the original data only. The data in this table are based on information from public records and contain no confidential data. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The state government data in this table are from a survey of all state governments and are not subject to sampling error. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax_Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Taxes,T00,"918,539,656","9,755,439","1,363,350","13,721,262","9,168,570","151,234,534","12,747,749","16,184,490","3,513,916","7,109,329","37,217,689","19,732,308","6,485,563","3,976,017","40,821,385","17,435,854","9,189,255","7,884,091","11,597,983","9,696,730","4,064,075","20,001,304","26,973,576","26,957,337","24,479,856","7,902,885","12,005,133","2,843,465","5,086,759","7,532,989","2,487,737","31,567,654","6,009,443","78,201,753","25,084,225","5,736,355","28,297,156","9,692,601","10,577,079","36,110,311","3,165,635","9,598,478","1,674,108","12,698,496","55,086,438","6,703,356","3,043,152","20,536,885","20,644,454","5,565,985","17,019,139","2,356,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Taxes,T01,"17,534,537","336,825","127,821","882,643","1,066,789","2,315,507",X,X,X,"2,251,725",X,"863,586",X,X,"60,959","8,834","1,772","658,758","563,435","56,658","37,028","738,170","5,311","1,963,036","839,487","25,961","30,265","268,057",119,"242,168","404,579","4,547","108,803",X,X,"3,505",X,X,"20,336","41,860","2,480","26,394",X,X,X,X,"1,035,611","32,712","2,018,393","6,679","165,155","318,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales and Gross Receipts Taxes,TA1,"432,460,913","4,936,049","255,971","7,885,555","4,410,340","52,412,359","4,744,644","6,554,350","498,557","1,751,874","30,336,315","7,555,865","4,082,196","1,941,280","17,641,282","10,639,926","4,268,628","3,977,806","5,450,451","5,285,626","1,999,051","8,450,318","8,274,172","13,124,461","9,953,411","4,873,777","5,084,211","603,200","2,315,830","6,038,768","970,102","12,951,867","2,995,689","23,932,517","10,733,859","1,935,816","17,214,405","4,032,088","1,498,647","18,369,809","1,620,523","4,845,230","1,372,682","9,196,721","47,654,182","2,766,724","1,026,188","6,495,087","16,241,234","2,619,323","7,647,097","994,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Sales and Gross Receipts Taxes,T09,"287,338,745","2,463,912",X,"6,105,909","3,182,211","38,464,704","2,817,773","4,082,787",X,"1,315,925","21,800,895","5,256,592","2,992,707","1,463,802","10,489,152","7,279,604","3,040,627","3,052,986","3,267,331","2,926,783","1,280,298","4,409,919","5,803,934","9,211,783","5,483,791","3,422,774","3,380,034",X,"1,787,880","4,080,507",X,"9,146,025","2,256,088","13,104,421","6,862,578","1,389,083","11,900,176","2,682,008",X,"9,865,270","959,513","3,568,788","970,784","6,548,032","33,664,187","1,882,901","366,667","3,793,215","12,517,831","1,293,327","4,892,126","811,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selective Sales and Gross Receipts Taxes,TA2,"145,122,168","2,472,137","255,971","1,779,646","1,228,129","13,947,655","1,926,871","2,471,563","498,557","435,949","8,535,420","2,299,273","1,089,489","477,478","7,152,130","3,360,322","1,228,001","924,820","2,183,120","2,358,843","718,753","4,040,399","2,470,238","3,912,678","4,469,620","1,451,003","1,704,177","603,200","527,950","1,958,261","970,102","3,805,842","739,601","10,828,096","3,871,281","546,733","5,314,229","1,350,080","1,498,647","8,504,539","661,010","1,276,442","401,898","2,648,689","13,989,995","883,823","659,521","2,701,872","3,723,403","1,325,996","2,754,971","183,745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoholic Beverages Sales Tax,T10,"6,430,964","192,490","39,836","71,270","53,256","357,373","41,392","61,612","20,708","6,244","459,019","184,374","50,281","8,937","283,177","46,064","22,686","132,589","131,951","57,416","18,312","30,956","80,815","145,399","85,142","42,094","36,208","33,860","29,873","43,799","12,328","138,548","45,735","250,899","359,880","9,485","101,090","116,772","17,811","358,887","19,538","166,501","16,690","159,768","1,147,565","51,221","24,839","257,229","331,405","18,159","57,596","1,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amusements Sales Tax,T11,"7,448,559",18,"9,144",X,"47,484",X,"110,105","307,841",X,X,"198,094",X,X,X,"746,846","618,600","288,085",319,155,"713,800","51,555","567,795","4,470","110,785","49,063","131,270","366,381","59,808","6,309","952,593",436,"206,143","72,059","1,129","1,824","3,626","269,998","20,767",X,"1,408,047",X,"36,780","8,993",X,"30,981",X,X,105,X,"46,928",223,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insurance Premiums Sales Tax,T12,"19,109,304","312,030","66,456","466,788","190,884","2,444,573","257,795","189,362","93,763","106,407","690,160","419,653","150,872","84,498","379,773","221,100","109,593","211,766","146,481","438,179","98,353","444,691","367,832","322,999","437,806","299,127","376,811","97,404","31,036","293,922","107,740","648,090","122,280","1,431,361","529,936","58,008","544,523","325,954","62,340","792,922","95,174","207,610","83,022","809,567","1,986,919","119,280","57,950","451,037","555,976","155,687","184,166","29,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor Fuels Sales Tax,T13,"42,525,011","560,188","42,003","753,814","461,731","5,711,160","667,948","481,825","117,401","25,256","2,481,760","1,025,819","93,066","258,993","1,293,272","832,006","541,813","439,045","850,276","606,410","243,891","923,483","756,121","1,010,395","884,596","428,278","695,145","226,806","327,665","304,364","146,796","535,550","240,177","1,648,106","1,924,089","232,296","1,907,996","455,288","524,665","2,731,605","85,801","546,370","148,170","857,605","3,462,288","377,390","85,619","755,681","1,247,817","433,877","1,014,656","118,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pari-mutuels Sales Tax,T14,"121,505","1,514",X,185,"2,791","14,009",615,"6,341",71,X,"7,401",X,X,"3,511","6,360","2,186","3,865",X,"2,965","4,356","1,883","1,138","1,203","3,904",514,X,X,39,150,0,914,X,875,"18,969",X,"1,364","5,758","1,155","2,268","10,293","1,103",X,397,X,"7,114",X,X,X,"1,458","2,312",0,"2,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Utilities Sales Tax,T15,"13,635,800","734,531","4,200","22,703",X,"627,030",X,"283,074","56,644","202,057","2,689,490",X,"163,481","1,918","1,675,695","245,615","6,177",371,"63,575","9,072","33,484","136,006","23,736","28,084",12,"1,655",X,"47,026","57,349","24,106","63,528","964,052","28,470","873,449",0,"45,272","1,114,159","49,491","83,299","1,268,072","105,292","28,483","3,267","8,153","654,641","24,798","18,277","131,270","483,211","152,167","395,883","3,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobacco Products Sales Tax,T16,"17,743,883","116,414","65,823","314,239","225,097","832,379","202,241","357,944","102,695","31,492","1,192,906","215,055","129,659","48,408","861,954","439,264","223,069","96,303","242,232","138,400","136,913","391,451","647,101","959,852","652,046","148,302","99,436","85,042","63,585","116,840","236,380","715,556","79,956","1,306,696","276,458","32,518","809,640","313,852","266,247","978,006","137,980","25,482","61,004","263,566","1,491,765","115,761","76,755","177,588","474,183","102,188","641,464","24,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Selective Sales and Gross Receipts Taxes,T19,"38,107,142","554,952","28,509","150,647","246,886","3,961,131","646,775","783,564","107,275","64,493","816,590","454,372","502,130","71,213","1,905,053","955,487","32,713","44,427","745,485","391,210","134,362","1,544,879","588,960","1,331,260","2,360,441","400,277","130,196","53,215","11,983","222,637","401,980","597,903","150,049","5,297,487","779,094","164,164","561,065","66,801","542,017","956,707","216,122","265,216","80,355","550,030","5,208,722","195,373","396,081","928,962","629,353","414,678","460,983","2,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
License Taxes,TA3,"52,232,278","493,883","115,886","458,737","384,306","9,420,863","680,739","452,687","1,389,894","179,158","2,138,834","633,573","252,431","333,144","2,730,407","643,936","874,778","378,193","487,834","386,358","268,026","851,466","1,213,135","1,563,500","1,392,055","606,432","596,983","350,769","172,391","649,333","322,667","1,553,255","272,008","1,764,149","1,755,328","225,540","2,171,231","1,055,808","988,932","2,222,062","89,794","556,245","288,796","1,502,770","3,426,885","280,021","111,527","829,279","1,396,989","138,918","1,026,575","153,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoholic Beverages License,T20,"600,725","4,217","1,845","6,764","4,751","56,512","6,875","9,040","1,910","4,929","8,515","3,972",X,"1,701","13,156","13,464","15,315","2,567","6,495",X,"6,300","1,385","3,345","17,201","2,307","3,282","5,122","2,222","1,817",X,"4,583","4,199",0,"61,173","24,877",377,"41,959",959,"4,627","17,183",126,"12,631",801,"1,446","68,483","1,936",438,"13,025","133,757","1,333","1,803",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amusements License,T21,"677,846",X,21,X,497,"19,466",754,232,305,X,"14,000",X,X,267,"14,861","5,787","23,268","7,261",248,X,643,"2,776","170,841",X,"1,181","33,981","1,799","4,587",864,"86,564",164,"53,812",633,X,199,549,"15,970","152,751","2,755","16,568",149,"7,475","6,709",323,"19,776",X,29,102,"6,038","2,932",709,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporations in General License,T22,"5,731,389","156,398",X,"10,105","27,177","66,966","17,400","27,828","1,206,182","34,942","309,821","46,579","1,647","2,301","358,214","9,098","42,286","22,556","100,367","146,329","9,845","108,642","25,653","22,820","7,824","170,546","29,978","3,594","5,849","97,596","54,896","286,599","25,199","26,511","631,302",X,"236,774","58,478","36,048","116,290","4,861","129,851","5,228","790,557","129,394",465,"3,409","57,686","34,595",927,"19,623","14,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunting and Fishing License,T23,"1,568,264","22,443","28,713","34,229","24,492","103,499","75,758","5,116","3,316",94,"17,303","23,867",514,"37,603","39,734","19,508","27,891","25,092","27,925","31,098","16,802","18,360","5,489","62,501","63,283","2,372","32,827","53,632","13,786","10,513","10,093","13,566","19,163","49,489","32,984","17,809","37,698","20,777","53,396","73,926","1,790","18,888","28,783","33,333","108,204","28,720","7,449","25,656","45,738","12,230","67,232","33,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor Vehicle License,T24,"24,448,391","211,144","29,500","207,819","157,628","3,860,058","490,175","219,903","54,663","37,648","1,381,688","351,212","178,663","142,970","1,675,694","255,110","594,080","226,837","202,663","76,004","106,876","485,119","441,078","1,018,071","727,385","162,773","278,327","157,999","101,808","173,550","122,490","637,074","181,434","1,357,402","607,531","122,799","745,550","724,318","540,392","892,817","19,987","212,246","80,835","278,716","2,107,627","176,458","70,033","449,616","564,178","2,409","470,542","77,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor Vehicle Operators License,T25,"2,612,982","26,342",X,"30,534","18,177","308,834","33,055","49,256","5,681","4,363","155,703","102,248",272,"10,580","118,374","223,978","20,871","11,314","16,428","11,082","9,600","35,987","109,266","56,917","45,713","45,902","18,016","9,560","10,395","29,919","12,369","55,398","3,684","140,400","116,386","5,329","80,658","29,862","42,035","76,669","4,949","9,493","3,698","47,806","137,645","16,283","8,907","40,018","116,458","105,298","39,053","2,217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Utilities License,T27,"1,078,130","14,670",866,"17,546","9,032","518,508","13,529",676,X,X,"25,316",X,"20,755","56,699","18,196",X,"9,793","5,248",X,"6,989",X,X,X,"29,803",734,"9,054","19,696",7,X,X,"21,456","7,762","1,503","12,601","19,831",6,"31,172",4,"15,945","61,679","4,029","10,526",X,"5,966","7,924",X,X,X,"18,529",136,"81,944",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Occupation and Business License, NEC",T28,"14,186,982","58,668","44,663","148,516","140,712","4,482,852","42,881","135,825","112,096","52,001","216,891","82,893","39,372","77,194","455,585","33,230","139,123","74,704","128,470","110,708","108,891","197,289","295,550","159,782","484,485","122,097","139,677","108,470","36,832","247,871","95,760","492,866","40,392","115,113","297,979","78,671","933,678","68,132","287,006","947,137","49,502","138,232","141,048","335,982","687,419","53,264","19,403","239,148","312,495","9,896","340,205","26,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other License Taxes,T29,"1,327,569",1,"10,278","3,224","1,840","4,168",312,"4,811","5,741","45,181","9,597","22,802","11,208","3,829","36,593","83,761","2,151","2,614","5,238","4,148","9,069","1,908","161,913","196,405","59,143","56,425","71,541","10,698","1,040","3,320",856,"1,979",0,"1,460","24,239",0,"47,772",527,"6,728","19,793","4,401","16,903","21,694","8,641","160,413","2,895","1,859","4,028","165,201","3,757","5,464",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Taxes,TA4,"387,487,181","3,870,173","227,852","4,451,843","3,140,706","86,936,733","7,029,683","8,832,085","1,540,994","2,316,727","2,237,500","10,679,060","2,060,164","1,695,450","19,968,083","6,136,549","3,934,855","2,721,257","4,821,411","3,236,754","1,702,096","9,349,733","16,719,284","10,010,943","11,846,676","2,317,985","6,281,907","1,348,517","2,584,059",X,"672,717","15,829,393","1,631,201","48,794,019","12,527,873","722,170","8,885,559","4,029,959","7,930,842","13,999,110","1,391,704","4,073,030","4,334","1,703,169",X,"3,526,399","821,953","12,721,796",X,"2,121,215","8,101,659",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual Income Taxes,T40,"338,426,933","3,336,587",X,"3,760,883","2,664,153","77,929,551","6,360,629","8,182,071","1,140,248","1,868,468",X,"9,678,524","1,987,915","1,478,368","15,913,816","5,232,977","3,471,617","2,262,951","4,069,501","2,983,104","1,533,130","8,346,145","14,491,903","8,825,375","10,370,047","1,783,438","5,856,131","1,180,478","2,239,582",X,"96,038","13,250,002","1,381,254","43,709,832","11,197,650","536,131","8,882,973","3,641,429","7,309,115","11,488,974","1,215,368","3,695,701",X,"302,196",X,"3,157,718","709,310","11,903,945",X,"1,932,457","7,069,248",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporations Net Income Taxes,T41,"49,060,248","533,586","227,852","690,960","476,553","9,007,182","669,054","650,014","400,746","448,259","2,237,500","1,000,536","72,249","217,082","4,054,267","903,572","463,238","458,306","751,910","253,650","168,966","1,003,588","2,227,381","1,185,568","1,476,629","534,547","425,776","168,039","344,477",X,"576,679","2,579,391","249,947","5,084,187","1,330,223","186,039","2,586","388,530","621,727","2,510,136","176,336","377,329","4,334","1,400,973",X,"368,681","112,643","817,851",X,"188,758","1,032,411",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Taxes,TA5,"28,824,747","118,509","635,820","42,484","166,429","149,072","292,683","345,368","84,471","609,845","2,505,040",224,"90,772","6,143","420,654","6,609","109,222","148,077","274,852","731,334","57,874","611,617","761,674","295,397","448,227","78,730","11,767","272,922","14,360","602,720","117,672","1,228,592","1,001,742","3,711,068","67,165","2,849,324","25,961","574,746","138,322","1,477,470","61,134","97,579","8,296","295,836","4,005,371","130,212","47,873","458,011","987,838","679,850","78,653","889,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death and Gift Taxes,T50,"4,761,640",X,X,X,3,369,X,"160,712","5,846","48,274",410,0,"12,071",X,"354,570","4,594","89,807",0,"50,976",4,"31,196","243,412","340,903",110,"141,262",4,92,X,X,X,X,"793,508",1,"1,108,529","3,225",X,"3,070",135,"110,994","970,839","42,231",X,X,"84,211",X,X,"9,890",97,"150,295",X,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentarty and Stock Transfer Taxes,T51,"8,309,121","39,274",X,"17,622","35,508",X,X,"184,030","77,590","480,592","2,467,410",224,"78,701",X,"66,084",X,"19,415",X,"3,263",0,"26,678","170,410","261,898","258,399","207,431",X,"11,630",X,"9,078","69,202","117,672","435,084",X,"1,155,309","62,070",X,X,"18,065","3,179","484,780","18,903","97,579",198,"190,034",X,X,"33,622","345,747","793,650","10,970","57,820",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severance Taxes,T53,"13,131,199","79,235","635,820","24,862","104,383","67,500","292,683",X,X,X,"37,220",X,X,"6,143",X,"2,015",X,"148,077","220,613","731,330",X,X,X,"36,883","58,931","78,726",1,"269,287","5,282","121,604",X,X,"1,001,741",X,"1,870","2,849,324","22,891","556,546","24,149",X,X,X,"8,098","2,195","4,005,371","130,212",X,"2,258","43,893","668,880","9,263","883,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taxes, NEC",T99,"2,622,787",0,0,0,"26,535","81,203",0,626,"1,035","80,979",0,0,0,0,0,0,0,0,0,0,0,"197,795","158,873",5,"40,603",0,44,"3,635",0,"411,914",0,0,0,"1,447,230",0,0,0,0,0,"21,851",0,0,0,"19,396",0,0,"4,361","109,909",0,0,"11,570","5,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tabulation Date: March 29, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,